"Source_ID","PDF","n_species","logitMSA_loss_pred","logitMSA_loss_pred_lwr","logitMSA_loss_pred_med","logitMSA_loss_pred_mea","logitMSA_loss_pred_upr","MSA_loss_pred","MSA_loss_pred_lwr","MSA_loss_pred_med","MSA_loss_pred_mea","MSA_loss_pred_upr"
0,0,1,-1.46862152263306,-2.59080996897494,-1.55698413786234,-1.55306664037817,-0.539314149206778,0.187152226159514,0.0697322221665635,0.174079829625372,0.174643791250447,0.368347143056983
0,0.01,1,-1.4253072087617,-2.53236371773628,-1.51341300892632,-1.50762688263507,-0.5040955087543,0.193830928713963,0.0736202777080025,0.180433536107133,0.181290755348081,0.376578692845086
0,0.02,1,-1.38199289489033,-2.47391746649762,-1.46740046348833,-1.46218712489196,-0.469037065123795,0.200689122805726,0.0777070107924408,0.187338052296687,0.188133038067869,0.38484418268789
0,0.03,1,-1.33867858101896,-2.4115495870019,-1.4196247850336,-1.41674736714886,-0.438378821860746,0.207727449417951,0.0822962120477945,0.194720412199985,0.19517200027909,0.392127331276437
0,0.04,1,-1.29536426714759,-2.34841525930574,-1.37507610541882,-1.37130760940575,-0.413541462411774,0.214946236965492,0.0871918185247317,0.201800963124172,0.20240866460925,0.398063249682747
0,0.05,1,-1.25204995327623,-2.28998716787733,-1.33152116138809,-1.32586785166265,-0.383800905824547,0.222345483828537,0.0919556214048791,0.208907858602549,0.209843692446602,0.405210492876786
0,0.06,1,-1.20873563940486,-2.23155907644893,-1.28646975395276,-1.28042809391954,-0.351077256874714,0.22992484144471,0.0969520543730895,0.216450940960727,0.217477361331971,0.413121213495161
0,0.07,1,-1.16542132553349,-2.1744203119761,-1.24147751611916,-1.23498833617644,-0.318353607924881,0.237683598118162,0.102071186883924,0.224178907381047,0.225309542942415,0.421077038533739
0,0.08,1,-1.12210701166213,-2.1175299070919,-1.19375024833136,-1.18954857843333,-0.285629958975049,0.245620663710227,0.107404646008255,0.232588877914648,0.233339681881103,0.429074060473055
0,0.09,1,-1.07879269779076,-2.06063950220771,-1.1481013796319,-1.14410882069023,-0.257000951899866,0.25373455538076,0.112981725308339,0.240836044663229,0.241566775497966,0.436101083033722
0,0.1,1,-1.03547838391939,-2.00371567681033,-1.10248521787755,-1.09866906294712,-0.23338430110785,0.262023384552149,0.118813351450563,0.249274529104398,0.249989354973779,0.441917324089952
0,0.11,1,-0.992164070048026,-1.94071390058539,-1.05701462479664,-1.05322930520402,-0.209806887989412,0.270484845268968,0.125569448017615,0.25788037699927,0.258605467906103,0.447739840533378
0,0.12,1,-0.948849756176659,-1.88082972208374,-1.0113862488912,-1.00778954746091,-0.176434356282455,0.279116204125119,0.132293599020175,0.266708647269852,0.267412662638482,0.456005477521167
0,0.13,1,-0.905535442305292,-1.82233793801455,-0.965262654238723,-0.962349789717805,-0.142931486363141,0.287914291926939,0.139153575357653,0.275825762029998,0.27640797457427,0.464327837842844
0,0.14,1,-0.862221128433925,-1.7626154657474,-0.918132327896721,-0.9169100319747,-0.109428616443827,0.296875497254955,0.146463073709838,0.285338598154216,0.28558791471304,0.472670112537238
0,0.15,1,-0.818906814562559,-1.70034896607698,-0.873269652121153,-0.871470274231595,-0.0759257465245132,0.305995762078696,0.154419693603851,0.294574411163763,0.294948460640497,0.481027676669356
0,0.16,1,-0.775592500691192,-1.63923353419451,-0.829690875143128,-0.82603051648849,-0.0467825959791971,0.315270579568022,0.162569382693542,0.303710436968754,0.304485050191986,0.4883064836409
0,0.17,1,-0.732278186819825,-1.58008694781719,-0.783657439668692,-0.780590758745385,-0.0179616262339487,0.324694994230989,0.170783168443675,0.31353215990883,0.314192577994922,0.495509714162205
0,0.18,1,-0.688963872948458,-1.519277994344,-0.737499059761552,-0.73515100100228,0.0113538945848496,0.334263604492084,0.18,0.32355127243757,0.324065395076604,0.502838443154084
0,0.19,1,-0.645649559077091,-1.45832645854235,-0.692122733201814,-0.689711243259174,0.0429272675218682,0.343970567806085,0.19,0.333561027158616,0.334097311701083,0.510730169179201
0,0.2,1,-0.602335245205724,-1.39755972639507,-0.646613815461686,-0.644271485516069,0.0764868652665581,0.353809608381756,0.2,0.34375301145749,0.344281603572028,0.519112399547108
0,0.21,1,-0.559020931334357,-1.34170140408366,-0.602203951425275,-0.598831727772964,0.107616183914569,0.363774027566352,0.21,0.353839626440813,0.354611021508057,0.526878110823091
0,0.22,1,-0.51570661746299,-1.28516250002612,-0.556979543071431,-0.553391970029859,0.141796629449571,0.373856716916763,0.22,0.364246622797555,0.365077804663179,0.535389880640514
0,0.23,1,-0.472392303591623,-1.21782336008045,-0.511349638878881,-0.507952212286754,0.179018951616612,0.384050173956299,0.23,0.374877192004882,0.375673697328119,0.54463559552953
0,0.24,1,-0.429077989720256,-1.161788094466,-0.46924996579643,-0.462512454543649,0.210842017058579,0.394346520588013,0.24,0.384793782002078,0.386389969308904,0.552516100799535
0,0.25,1,-0.385763675848889,-1.10877067905123,-0.425166142498679,-0.417072696800544,0.239808513814358,0.404737524106486,0.25,0.395281200893559,0.397217439837759,0.559666459967452
0,0.26,1,-0.342449361977522,-1.05636517129687,-0.381744414946135,-0.371632939057439,0.280228797707853,0.415214620720601,0.26,0.405706234383703,0.408146504928762,0.56960231585274
0,0.27,1,-0.299135048106155,-0.999365623311692,-0.334018135447846,-0.326193181314333,0.317895590225207,0.425768941470449,0.27,0.417263271302,0.419167168047536,0.578811305923307
0,0.28,1,-0.255820734234788,-0.942991166672232,-0.288353650077676,-0.280753423571228,0.354029961544247,0.436391340392733,0.28029653701668,0.428406968476717,0.430269073921338,0.587594491765131
0,0.29,1,-0.212506420363422,-0.887415311059824,-0.241445508628981,-0.235313665828123,0.383574297767749,0.447072424761245,0.291643504341366,0.439930158661767,0.441441545274012,0.59473489002094
0,0.3,1,-0.169192106492055,-0.826792132657631,-0.196188451962421,-0.189873908085018,0.413092713851194,0.457802587202857,0.30432378378374,0.451109602083814,0.452673622230279,0.601829221251753
0,0.31,1,-0.125877792620688,-0.769945642847991,-0.147238801830593,-0.144434150341913,0.442518034520922,0.468572039465326,0.316490864924538,0.463256656293017,0.463954104096478,0.60885886413599
0,0.32,1,-0.082563478749321,-0.711879231851635,-0.0987826764855649,-0.0989943925988079,0.477289197914903,0.479370847591619,0.329183731697307,0.475324393032435,0.475271593191048,0.617107554339064
0,0.33,1,-0.039249164877954,-0.653737721136005,-0.0528661945548222,-0.0535546348557027,0.518380622150132,0.490188968236879,0.342147745405796,0.486786528673444,0.486614540368343,0.62676902371052
0,0.34,1,0.00406514899341293,-0.599549787544638,-0.00762234375721338,-0.00811487711259752,0.548334894584294,0.501016285848806,0.354446702042008,0.498094423286875,0.497971291854582,0.633749187613701
0,0.35,1,0.0473794628647799,-0.543365717011191,0.0384595471404832,0.0373248806305076,0.58595909680759,0.511842650420613,0.367404978642278,0.509613701816015,0.509330136995302,0.642437438681529
0,0.36,1,0.0906937767361466,-0.487066009691761,0.0834901769102718,0.0827646383736125,0.624129887607756,0.522657915517911,0.380584983948104,0.520860428143313,0.520679356500072,0.65115724334599
0,0.37,1,0.134008090607514,-0.420123437369078,0.127272009325785,0.128204396116718,0.662300678407921,0.53345197627718,0.39648721303434,0.531775122351861,0.532007270762828,0.659777014419038
0,0.38,1,0.177322404478881,-0.361604190221201,0.171259634141171,0.173644153859823,0.697430024981335,0.544214807073831,0.410571292268598,0.542710568272237,0.543302287835001,0.667617729541939
0,0.39,1,0.220636718350248,-0.302465794319413,0.21549381255609,0.219083911602928,0.731012942800224,0.554936498562395,0.424954810204016,0.553665937325305,0.554552950633855,0.675027516536173
0,0.4,1,0.263951032221615,-0.240595520845482,0.261649237418568,0.264523669346033,0.763832165686268,0.56560729379988,0.440139599204899,0.56504166758558,0.565747982979855,0.6821851595962
0,0.41,1,0.307265346092982,-0.178706931403205,0.30393886956981,0.309963427089138,0.799785409038059,0.57621762317569,0.455441788951719,0.575405122717429,0.576876334074264,0.689928576168845
0,0.42,1,0.350579659964348,-0.116854973897619,0.348238672033241,0.355403184832243,0.83867155701206,0.586758137887458,0.470819454206959,0.586190396412245,0.587927221051142,0.698185356811444
0,0.43,1,0.393893973835715,-0.064322424303463,0.394969432999614,0.400842942575348,0.877557704986061,0.597219741721355,0.483924935921697,0.597478414547724,0.598890169265894,0.706315862041435
0,0.44,1,0.437208287707082,-0.0110840309854899,0.44231669407713,0.446282700318454,0.916443852960062,0.607593620917516,0.497229020622797,0.608810913909303,0.609755050014969,0.714316962461554
0,0.45,1,0.480522601578449,0.0426316032007693,0.490461128136993,0.491722458061559,0.955237605478057,0.617871271925789,0.510656286906835,0.620215056329989,0.6205121154175,0.722167281932637
0,0.46,1,0.523836915449816,0.0974929799250584,0.536011368387454,0.537162215804664,0.990829273593893,0.628044526883498,0.524353957913485,0.630884073519344,0.631152030228791,0.729251688290205
0,0.47,1,0.567151229321183,0.149326112680868,0.579656025443418,0.582601973547769,1.02275054824762,0.63810557667492,0.537262313406199,0.640988253953886,0.641665900396895,0.735508026535695
0,0.48,1,0.61046554319255,0.19993973546395,0.625907473214792,0.628041731290874,1.05813566589041,0.648046991461105,0.549819080796266,0.651560915990201,0.652045298216173,0.742334107462869
0,0.49,1,0.653779857063917,0.254181555772586,0.671992808831307,0.673481489033979,1.09037612993727,0.657861738598099,0.563205455258509,0.661949238723058,0.662282283974864,0.748452542709548
0,0.5,1,0.697094170935284,0.303861976929517,0.718294683078829,0.718921246777084,1.12753402653523,0.667543197890976,0.575386336654806,0.672231384179065,0.672369424036632,0.755383525366215
0,0.51,1,0.74040848480665,0.355562929098471,0.765563575134388,0.76436100452019,1.16469192313318,0.677085174159936,0.58796592155977,0.682560425532067,0.682299805337888,0.762184216098314
0,0.52,1,0.783722798678018,0.411709909419012,0.815903722847071,0.809800762263295,1.2018106100735,0.68648190712261,0.601497812093132,0.693366122996143,0.692067046322846,0.768846724351713
0,0.53,1,0.827037112549384,0.461265500824717,0.861613790269078,0.8552405200064,1.246010389297,0.695728078623263,0.613314345140718,0.702997711073691,0.701665304376115,0.776608476489165
0,0.54,1,0.870351426420751,0.509909795927716,0.906357543713554,0.900680277749505,1.28604070722037,0.704818817264375,0.624785328290118,0.712254225626516,0.711089279847589,0.783476283890611
