"Source_ID","PDF","Taxon_group","n_species","logitMSA_loss_pred","logitMSA_loss_pred_lwr","logitMSA_loss_pred_med","logitMSA_loss_pred_mea","logitMSA_loss_pred_upr","MSA_loss_pred","MSA_loss_pred_lwr","MSA_loss_pred_med","MSA_loss_pred_mea","MSA_loss_pred_upr"
0,0,"Invertebrates",1,-1.41368921945419,-1.98223090838581,-1.5109994788292,-1.50558295522021,-0.980425064616477,0.195652821635651,0.121081222606191,0.180790717676186,0.181594321726876,0.272807449690375
0,0.01,"Invertebrates",1,-1.37178408712666,-1.92695770324094,-1.46501625226144,-1.45968182900274,-0.944500397467953,0.202331753240406,0.127087698895441,0.187701301202392,0.188515993461851,0.279992180279507
0,0.02,"Invertebrates",1,-1.32987895479913,-1.86908799881309,-1.41763433637166,-1.41378070278527,-0.908619250743962,0.209179388213443,0.133647283940709,0.195032712919299,0.195638425048991,0.287282464328671
0,0.03,"Invertebrates",1,-1.28797382247161,-1.81469122214315,-1.37109959926522,-1.3678795765678,-0.873084197012622,0.216195959835242,0.140072104377011,0.20244224771967,0.202962648769873,0.294612950264165
0,0.04,"Invertebrates",1,-1.24606869014408,-1.76050447194067,-1.32407013817342,-1.32197845035033,-0.837549143281281,0.223381409191121,0.146727169511729,0.210141925576171,0.210489319220548,0.30205121368748
0,0.05,"Invertebrates",1,-1.20416355781655,-1.70701084902898,-1.27807839856695,-1.27607732413285,-0.80201408954994,0.230735370941882,0.15355182445318,0.217877500184517,0.218218689569665,0.309594850518326
0,0.06,"Invertebrates",1,-1.16225842548902,-1.65318339876097,-1.23373611505623,-1.23017619791538,-0.766479035818599,0.238257159705028,0.160679168164468,0.225528187248392,0.226150588462233,0.317241253212079
0,0.07,"Invertebrates",1,-1.12035329316149,-1.59861407439491,-1.1889519943573,-1.18427507169791,-0.729515827838784,0.245945757177764,0.168175406226594,0.233446423141339,0.23428439780007,0.325300984656848
0,0.08,"Invertebrates",1,-1.07844816083396,-1.54472874026927,-1.14280213832976,-1.13837394548044,-0.692918030228653,0.25379980013632,0.175848906238562,0.241806256573723,0.242619031640808,0.333384257573838
0,0.09,"Invertebrates",1,-1.03654302850643,-1.49079567051818,-1.09656295822181,-1.09247281926297,-0.655218886590514,0.261817569448211,0.183802331664177,0.250384446288504,0.251152916465894,0.341814438726729
