"Source_ID","PDF","Taxon_group","n_species","logitMSA_loss_pred","logitMSA_loss_pred_lwr","logitMSA_loss_pred_med","logitMSA_loss_pred_mea","logitMSA_loss_pred_upr","MSA_loss_pred","MSA_loss_pred_lwr","MSA_loss_pred_med","MSA_loss_pred_mea","MSA_loss_pred_upr"
0,0,"Invertebrates",1,-1.3585840987386,-2.00424950611401,-1.48996530594359,-1.49637954226789,-1.01754580340141,0.204470519706281,0.118757472635331,0.183926934864547,0.182966123203719,0.265505723874027
0,0.01,"Invertebrates",1,-1.31679385333535,-1.95339302374944,-1.4448450259535,-1.45090876611525,-0.979664432367793,0.211352207298153,0.124183854556339,0.19079618960191,0.189861745427159,0.272958372686097
0,0.02,"Invertebrates",1,-1.27500360793211,-1.90244148216252,-1.40121999841087,-1.40543798996262,-0.941783061334175,0.218401920213901,0.129832396237615,0.197622587487936,0.196954602379184,0.280540313250337
0,0.03,"Invertebrates",1,-1.23321336252886,-1.84837763708341,-1.35969942481599,-1.35996721380999,-0.903901690300556,0.225619507036244,0.136063493548606,0.204289157969732,0.204245630950677,0.288249359219872
0,0.04,"Invertebrates",1,-1.19142311712561,-1.79239994012999,-1.3152884359258,-1.31449643765736,-0.865114716231202,0.233004509029704,0.142778735786226,0.211603242999405,0.211735400119555,0.296271843699185
0,0.05,"Invertebrates",1,-1.14963287172236,-1.73642224317656,-1.27015368699625,-1.26902566150472,-0.82780122159808,0.240556146918821,0.149767946535638,0.21923094454362,0.219424088393878,0.30411019093135
0,0.06,"Invertebrates",1,-1.10784262631912,-1.68044454622313,-1.22446479308422,-1.22355488535209,-0.790682022704868,0.248273308436342,0.157036612611097,0.227151684488463,0.227311461901907,0.312022244680601
0,0.07,"Invertebrates",1,-1.06605238091587,-1.62857786098648,-1.17926086410668,-1.17808410919946,-0.753340903436802,0.256154536774112,0.164025273160436,0.235185120861804,0.235396853347232,0.32009377088084
0,0.08,"Invertebrates",1,-1.02426213551262,-1.57874557407439,-1.1322144370434,-1.13261333304682,-0.716188510014593,0.264198020071033,0.170973212695877,0.24375266595431,0.243679142056841,0.328232850536132
0,0.09,"Invertebrates",1,-0.982471890109375,-1.52890439164317,-1.08850852545247,-1.08714255689419,-0.67975581129794,0.272401582072606,0.178154042920213,0.251899236805575,0.252156735357612,0.336315805162814
0,0.1,"Invertebrates",1,-0.940681644706128,-1.47906320921195,-1.04275267106368,-1.04167178074156,-0.639806664505986,0.280762674095221,0.185568957705878,0.26061921348736,0.260827551521802,0.345290244453772
0,0.11,"Invertebrates",1,-0.898891399302881,-1.42922202678073,-0.996414939377381,-0.996201004588925,-0.602898496397851,0.289278368425279,0.193219930414306,0.269646870679514,0.269689004524402,0.353680843786266
0,0.12,"Invertebrates",1,-0.857101153899634,-1.37794354616348,-0.949957302527423,-0.950730228436292,-0.562624630888821,0.297945353278416,0.201339478329568,0.278893408864852,0.27873799085433,0.36294038853846
0,0.13,"Invertebrates",1,-0.815310908496386,-1.31884931618099,-0.903380405559223,-0.905259452283659,-0.524628894519437,0.306759929437455,0.211009800983391,0.288356318669948,0.287970878617108,0.371770481932783
0,0.14,"Invertebrates",1,-0.773520663093139,-1.2675217451745,-0.857847378514089,-0.859788676131026,-0.485306713733552,0.315718008679125,0.21968178359772,0.297789286089569,0.297383499158665,0.380999807513968
0,0.15,"Invertebrates",1,-0.731730417689892,-1.21371937561019,-0.813583844120643,-0.814317899978394,-0.444455143265757,0.324815114089156,0.229043612003044,0.30712732649169,0.30697114142799,0.390679911308481
0,0.16,"Invertebrates",1,-0.689940172286645,-1.15662487501499,-0.766243975903301,-0.768847123825761,-0.40368494232672,0.334046382353059,0.239281103782637,0.317292169198277,0.31672854928047,0.400427315743987
0,0.17,"Invertebrates",1,-0.648149926883397,-1.09862783152753,-0.720198097545132,-0.723376347673128,-0.365548192000625,0.343406568095687,0.249997085725182,0.327349361993915,0.326649921903793,0.40961717171516
0,0.18,"Invertebrates",1,-0.60635968148015,-1.04832200011833,-0.675395789091001,-0.677905571520495,-0.325870424601246,0.35289005032688,0.259547453013918,0.337289688236548,0.336728917524295,0.41924575040012
0,0.19,"Invertebrates",1,-0.564569436076903,-0.996561288005779,-0.630568221378958,-0.632434795367862,-0.284117275501993,0.362490841032967,0.269618050127549,0.347381706501154,0.346958660523813,0.42944466149446
0,0.2,"Invertebrates",1,-0.522779190673655,-0.948321351596619,-0.587167776188517,-0.586964019215229,-0.240206457847944,0.372202595935086,0.27922253700321,0.357284961498638,0.357331752065524,0.440235473069098
0,0.21,"Invertebrates",1,-0.480988945270408,-0.900235605987705,-0.542436655084443,-0.541493243062596,-0.19932813693461,0.382018627415142,0.289002082678592,0.367620936465824,0.367840284292444,0.450332305492631
0,0.22,"Invertebrates",1,-0.439198699867161,-0.848348687898764,-0.494724437543691,-0.496022466909963,-0.158494149991187,0.391931919589263,0.29977937261114,0.378781244145661,0.378475858124425,0.460459201243449
0,0.23,"Invertebrates",1,-0.397408454463914,-0.791938918888062,-0.449364346688783,-0.45055169075733,-0.116961267986743,0.401935145486854,0.311752497629693,0.389511908945435,0.389229604639364,0.470792971276714
0,0.24,"Invertebrates",1,-0.355618209060666,-0.741428498529731,-0.403743401320822,-0.405080914604698,-0.0764321282765451,0.41202068627134,0.322691849477122,0.400413280681688,0.400092209982345,0.480901264720151
0,0.25,"Invertebrates",1,-0.313827963657419,-0.694824841054446,-0.357984598414241,-0.359610138452065,-0.0367948022347424,0.422180652416549,0.332960624190762,0.411447525233361,0.411053943703406,0.490802337111619
0,0.26,"Invertebrates",1,-0.272037718254172,-0.646859771029413,-0.310858346127995,-0.314139362299432,0.000845417476644738,0.432406906730969,0.34369752924115,0.422905240153211,0.422104690381169,0.500211354356573
0,0.27,"Invertebrates",1,-0.230247472850925,-0.597553771881081,-0.266020133851717,-0.268668586146799,0.0416743279364291,0.442691089100973,0.354903551419258,0.433884406044069,0.433233984346661,0.510417074373592
0,0.28,"Invertebrates",1,-0.188457227447677,-0.544038313181874,-0.220840848213516,-0.223197809994166,0.0847016981723881,0.453024642804055,0.367248668754679,0.445013085605115,0.444431047279904,0.521162773578211
0,0.29,"Invertebrates",1,-0.14666698204443,-0.497182264316349,-0.174610828612123,-0.177727033841533,0.1275146295523,0.463398842224462,0.378203075274206,0.456457866135727,0.455684828412292,0.531835531978928
