"Source_ID","PDF","Realm","n_species","logitMSA_loss_pred","logitMSA_loss_pred_lwr","logitMSA_loss_pred_med","logitMSA_loss_pred_mea","logitMSA_loss_pred_upr","MSA_loss_pred","MSA_loss_pred_lwr","MSA_loss_pred_med","MSA_loss_pred_mea","MSA_loss_pred_upr"
0,0.02,"Nearctic",1,-1.28612556603769,-2.18810134520341,-1.09769476207772,-1.106732054301,-0.0669391145964389,0.21650932090438,0.100824092530945,0.250172075694633,0.248480636510397,0.483271467381347
0,0.03,"Nearctic",1,-1.24472828791287,-2.12167343748189,-1.05313743443009,-1.0633883992436,-0.0411227037610169,0.223614031275881,0.107008056069749,0.258623082558938,0.256662459863462,0.489720772599138
0,0.04,"Nearctic",1,-1.20333100978804,-2.07224124817945,-1.00751703473663,-1.02004474418621,-0.0114843692492313,0.230883178478918,0.111824244985171,0.267466052117925,0.265018685000053,0.497128939243149
0,0.05,"Nearctic",1,-1.16193373166322,-2.01746146482742,-0.96581608742711,-0.976701089128813,0.0186584079369805,0.238316093618124,0.117381736062848,0.275715229729652,0.273546849871462,0.504664466662561
0,0.06,"Nearctic",1,-1.1205364535384,-1.95637979823512,-0.922410601434604,-0.933357434071418,0.0488011851231925,0.245911790486658,0.12385937078537,0.284466972363214,0.282244060632458,0.512197875550242
0,0.07,"Nearctic",1,-1.07913917541358,-1.89460046947801,-0.882672309238545,-0.890013779014023,0.0789439623094042,0.253668954286937,0.130720816133473,0.29262431700046,0.291106983937271,0.519725747158023
0,0.08,"Nearctic",1,-1.03774189728875,-1.83695450678732,-0.840002014205489,-0.846670123956628,0.10985165091987,0.261585931293836,0.137411875979786,0.301534359782675,0.300131841198396,0.527435328887067
0,0.09,"Nearctic",1,-0.99634461916393,-1.7765913402556,-0.797325990508739,-0.803326468899233,0.138672990112023,0.269660719586363,0.144724545039583,0.310597805808234,0.309314404959713,0.534612797717421
0,0.1,"Nearctic",1,-0.954947341039107,-1.71916610816339,-0.75663588642712,-0.759982813841838,0.161624509179126,0.277890960973023,0.151978605374127,0.319377096864812,0.318649997523551,0.540318397432196
0,0.11,"Nearctic",1,-0.913550062914284,-1.66199736057889,-0.710581747110955,-0.716639158784443,0.18896525942036,0.286273934233728,0.159494057227003,0.329470308090591,0.328133491956777,0.547101241116072
0,0.12,"Nearctic",1,-0.872152784789461,-1.60277355406301,-0.668661162065516,-0.673295503727048,0.21160922305554,0.29480654979717,0.167594329321372,0.33879669380015,0.337759315583879,0.552705778738467
0,0.13,"Nearctic",1,-0.830755506664638,-1.54773024806027,-0.62403408111502,-0.629951848669653,0.240914687253899,0.303485345967012,0.175414332656263,0.348864519556525,0.347521456055386,0.559939047235319
0,0.14,"Nearctic",1,-0.789358228539816,-1.49041326779248,-0.5754692552433,-0.586608193612258,0.267175082451164,0.31230648680285,0.183859706288636,0.359975782934112,0.357413470058024,0.566399260819225
0,0.15,"Nearctic",1,-0.747960950414993,-1.42781436643579,-0.535825499517686,-0.543264538554863,0.301934805121709,0.321265761752907,0.193439459704967,0.369159210698135,0.367428494708898,0.57491542774344
0,0.16,"Nearctic",1,-0.70656367229017,-1.36444150643268,-0.493482168811632,-0.499920883497468,0.336091796161805,0.330358587124552,0.203519389305768,0.379073601435757,0.377559261650065,0.583240862235586
0,0.17,"Nearctic",1,-0.665166394165347,-1.30928847050465,-0.45010564428854,-0.456577228440073,0.368349563994397,0.339580009466276,0.212605933111443,0.389335648468222,0.38779811383238,0.591060114790463
0,0.18,"Nearctic",1,-0.623769116040525,-1.24935058068458,-0.409470084443133,-0.413233573382678,0.394534846490481,0.348924710920599,0.222812576661864,0.399039191765299,0.398137024948871,0.597373892953218
0,0.19,"Nearctic",1,-0.582371837915702,-1.19354126942021,-0.363182956482513,-0.369889918325283,0.420184507731157,0.358387016591789,0.232626180914933,0.410189280891002,0.40856762144857,0.603527400101154
0,0.2,"Nearctic",1,-0.540974559790879,-1.14252500888617,-0.317962904054091,-0.326546263267888,0.45099569220231,0.36796090395522,0.241857068010248,0.421172283807667,0.419081207032093,0.610875942595633
0,0.21,"Nearctic",1,-0.499577281666056,-1.08700859981071,-0.277015799639553,-0.283202608210493,0.47955750504072,0.377640014317059,0.252181996981309,0.43118554386478,0.429668789500926,0.617643380585493
0,0.22,"Nearctic",1,-0.458180003541234,-1.02772169018235,-0.231120282229246,-0.239858953153098,0.508965728212741,0.387417666313776,0.263526040398193,0.442475764118241,0.44032110980368,0.624563985737772
0,0.23,"Nearctic",1,-0.416782725416411,-0.966739693681906,-0.186136894369131,-0.196515298095703,0.543223113884076,0.397286871421094,0.275530827151536,0.453599668250291,0.451028673095267,0.632561877117572
0,0.24,"Nearctic",1,-0.375385447291588,-0.912330614090839,-0.142975850175999,-0.153171643038308,0.575770759085632,0.407240351421659,0.286523158366543,0.464316803360186,0.46178178159927,0.640093678573513
0,0.25,"Nearctic",1,-0.333988169166765,-0.854285866696003,-0.0948736240807775,-0.109827987980913,0.613738421250217,0.417270557760166,0.298534572721501,0.476299368770914,0.472570569040471,0.648793114131198
0,0.26,"Nearctic",1,-0.292590891041942,-0.804294932315554,-0.0558507590287884,-0.0664843329235182,0.6502352999967,0.427369692694359,0.309107541618231,0.486040938604332,0.4833850363938,0.657063485030871
0,0.27,"Nearctic",1,-0.25119361291712,-0.752060308370732,-0.0102171608613211,-0.0231406778661232,0.682852136913035,0.437529732130402,0.320372535771386,0.497445732004714,0.494215088678481,0.664374967239641
0,0.28,"Nearctic",1,-0.209796334792297,-0.695666174268989,0.0324100411486905,0.0202029771912719,0.714490341787764,0.447742450012003,0.332773792162867,0.508101801114661,0.505050572512059,0.671392600921916
0,0.29,"Nearctic",1,-0.168399056667474,-0.65144137858635,0.0725464111571328,0.0635466322486667,0.753577566050178,0.457999444114748,0.34266479950431,0.518128652589276,0.515881314128713,0.679957732697779
0,0.3,"Nearctic",1,-0.127001778542651,-0.601966517764757,0.113810881670255,0.106890287306062,0.779908480441858,0.468292163080487,0.353893914478852,0.528422048003347,0.52669715755993,0.685660389042929
0,0.31,"Nearctic",1,-0.0856045004178285,-0.55145663373527,0.157937066067315,0.150233942363457,0.81457614512699,0.478611934511822,0.365526524906945,0.539402395717141,0.537488002673409,0.693083794869894
