"Database","Source_ID","SS_ID","Source_ID_original","SS_ID_original","Longitude","Latitude","Taxon_group","Pressure","Pressure_level","Pressure_unit","n_species","PDF","MSA_loss"
"PREDICTS",9,"9_1","BS1_2011__Jolli","BS1_2011__Jolli 1",77.371,31.8386666666667,"Vertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",3,0,0.348062015503876
"PREDICTS",10,"10_1","BS1_2012__Naithani","BS1_2012__Naithani 1",78.7836111111111,30.1865666666667,"Vertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",78,0.487179487179487,0.624491816225106
"PREDICTS",10,"10_1","BS1_2012__Naithani","BS1_2012__Naithani 1",78.7786203703704,30.1850083333333,"Vertebrates","Land_use","Urban","Land_use_category",78,0.307692307692308,0.558350171691974
"PREDICTS",11,"11_1","CC1_2007__Ewers","CC1_2007__Ewers 1",172.403120755821,-42.6008931127727,"Invertebrates","Land_use","Pasture","Land_use_category",3,0.333333333333333,0.748014801098514
"PREDICTS",11,"11_1","CC1_2007__Ewers","CC1_2007__Ewers 1",172.403799964794,-42.6010532427839,"Invertebrates","Land_use","Pasture","Land_use_category",8,0.5,0.659612893932128
"PREDICTS",12,"12_1","CC1_2013__Litchwark","CC1_2013__Litchwark 1",170.087520486111,-44.3187805555555,"Invertebrates","Land_use","Pasture","Land_use_category",26,0.230769230769231,0.453030430923926
"PREDICTS",12,"12_1","CC1_2013__Litchwark","CC1_2013__Litchwark 1",170.20020462963,-44.3526,"Invertebrates","Land_use","Secondary vegetation","Land_use_category",26,0.230769230769231,0.412000658493993
"PREDICTS",13,"13_1","CM1_2007__MarinSpiotta","CM1_2007__MarinSpiotta 1",-66.0833333333,18.0166666667,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",19,0.631578947368421,0.81547619047619
"PREDICTS",13,"13_1","CM1_2007__MarinSpiotta","CM1_2007__MarinSpiotta 1",-66.0833333333,18.0166666667,"Plants","Land_use","Mature secondary vegetation","Land_use_category",19,0.421052631578947,0.50093984962406
"PREDICTS",13,"13_1","CM1_2007__MarinSpiotta","CM1_2007__MarinSpiotta 1",-66.0833333333,18.0166666667,"Plants","Land_use","Young secondary vegetation","Land_use_category",19,0.842105263157895,0.884210526315789
"PREDICTS",14,"14_1","CM1_2008__LoManHung","CM1_2008__LoManHung 1",-53.0470759528,-0.835868155556,"Invertebrates","Land_use","Forest_plantation","Land_use_category",13,0.769230769230769,0.825363825363825
"PREDICTS",14,"14_1","CM1_2008__LoManHung","CM1_2008__LoManHung 1",-52.8448874861,-0.887927675,"Invertebrates","Land_use","Forest_plantation","Land_use_category",13,0.923076923076923,0.984615384615385
"PREDICTS",14,"14_1","CM1_2008__LoManHung","CM1_2008__LoManHung 1",-52.8089701472,-0.695913522222,"Invertebrates","Land_use","Forest_plantation","Land_use_category",13,0.692307692307692,0.692307692307692
"PREDICTS",14,"14_1","CM1_2008__LoManHung","CM1_2008__LoManHung 1",-52.62629585555,-0.8329280597225,"Invertebrates","Land_use","Forest_plantation","Land_use_category",13,0.923076923076923,0.994802494802495
"PREDICTS",14,"14_1","CM1_2008__LoManHung","CM1_2008__LoManHung 1",-52.7826371417,-0.709216669444,"Invertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",13,0.769230769230769,0.798076923076923
"PREDICTS",14,"14_1","CM1_2008__LoManHung","CM1_2008__LoManHung 1",-52.65570555555,-0.5955240541665,"Invertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",13,0.615384615384615,0.717688842688843
"PREDICTS",14,"14_1","CM1_2008__LoManHung","CM1_2008__LoManHung 1",-52.6461812648333,-0.705571712036667,"Invertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",13,0.538461538461538,0.632478632478632
"PREDICTS",15,"15_1","CM1_2009__Letcher","CM1_2009__Letcher 1",-84.0959523785714,10.4108333314286,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",12,0.25,0.30952380952381
"PREDICTS",15,"15_1","CM1_2009__Letcher","CM1_2009__Letcher 1",-84.0917592566667,10.41185185,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",61,0.377049180327869,0.534956478541653
"PREDICTS",15,"15_1","CM1_2009__Letcher","CM1_2009__Letcher 1",-84.08375,10.42708333,"Plants","Land_use","Young secondary vegetation","Land_use_category",67,0.537313432835821,0.626801722774305
