"Variable","Element","Estimate","lwr","upr","se","p","n"
"Invertebrates","Intercept",-1.5,-1.64,-1.35,0.08,0,359
"Plants","Intercept",-1.77,-1.95,-1.59,0.09,0.0026,645
"Vertebrates","Intercept",-1.32,-1.49,-1.14,0.09,0.0381,12693
"PDF:Invertebrates","Slope",4.55,4.35,4.74,0.1,0,NA
"PDF:Plants","Slope",4.84,4.58,5.1,0.13,0.0302,NA
"PDF:Vertebrates","Slope",4,3.72,4.29,0.15,2e-04,NA
