"Database","Source_ID","SS_ID","Longitude","Latitude","Taxon_group","Pressure","Pressure_level","Pressure_unit","n_species","PDF","MSA_loss"
"PREDICTS","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.6764351666667,-25.3060976666667,"Invertebrates","Land_use","Pasture","Land_use_category",3,0.666666666666667,0.775426219870664
"PREDICTS","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.6752303846154,-25.3224955384615,"Invertebrates","Land_use","Young secondary vegetation","Land_use_category",3,0,0.0256410256410257
"PREDICTS","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.520426,-25.594835,"Invertebrates","Land_use","Young secondary vegetation","Land_use_category",3,0.666666666666667,0.99294532627866
"PREDICTS","CM1_2009__Roembke","CM1_2009__Roembke 1",-48.4909123333333,-25.2716855,"Invertebrates","Land_use","Young secondary vegetation","Land_use_category",3,0.666666666666667,0.666666666666667
"PREDICTS","CM1_2010__Berry","CM1_2010__Berry 1",117.817388923077,4.97419992307692,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",4,0.5,0.554878048780488
"PREDICTS","CM1_2010__Berry","CM1_2010__Berry 1",117.817838,4.97407758333333,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",62,0.32258064516129,0.478860548017233
"PREDICTS","CM1_2010__Berry","CM1_2010__Berry 1",117.818665928571,4.97410885714286,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",40,0.225,0.45085628748304
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",156.947822727364,-7.97708787878727,"Plants","Land_use","Forest_plantation","Land_use_category",27,0.962962962962963,0.996632996632997
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",156.94786666675,-7.9741333333325,"Plants","Land_use","Forest_plantation","Land_use_category",8,0.75,0.860054347826087
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",156.986287654481,-7.99514876543111,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",3,0.666666666666667,0.666666666666667
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",156.98832533348,-7.9920366666656,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",3,0.666666666666667,0.980869565217391
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",156.9911458335,-7.99667976190393,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",2,0.5,0.964285714285714
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",156.99257654337,-7.99717777777704,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",5,0.4,0.690750237416904
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",156.993798077077,-7.99575961538385,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",8,0.5,0.610576923076923
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",156.996546527917,-7.99256874999917,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",5,0.4,0.5625
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",156.95874583325,-7.9445291666675,"Plants","Land_use","Pasture","Land_use_category",32,0.96875,0.981317934782609
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",157.130549206286,-8.07293174603286,"Plants","Land_use","Young secondary vegetation","Land_use_category",2,0,0.178571428571429
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",157.134475438526,-8.07514561403632,"Plants","Land_use","Young secondary vegetation","Land_use_category",8,0.625,0.832988721804511
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",157.135087719211,-8.07699824561526,"Plants","Land_use","Young secondary vegetation","Land_use_category",3,0.666666666666667,0.878787878787879
"PREDICTS","CM1_2012__Katovai","CM1_2012__Katovai 1",157.135293518444,-8.07473611111222,"Plants","Land_use","Young secondary vegetation","Land_use_category",9,0.666666666666667,0.806584362139918
