"Variable","Element","Estimate","lwr","upr","se","p","n"
"Invertebrates","Intercept",-1.48,-1.62,-1.34,0.07,0,578
"Plants","Intercept",-1.21,-1.37,-1.05,0.08,0.0013,2065
"Vertebrates","Intercept",-1.37,-1.53,-1.21,0.08,0.1719,17248
"PDF:Invertebrates","Slope",4.49,4.32,4.66,0.09,0,NA
"PDF:Plants","Slope",3.94,3.71,4.18,0.12,0,NA
"PDF:Vertebrates","Slope",3.94,3.69,4.18,0.13,0,NA
